Subject;Start Date;Description;All Day Event;Private;End Date
Primeiro turno das eleições municipais;10/6/2024;"Primeiro turno das eleições municipais

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Segundo turno das eleições municipais (onde houver);10/27/2024;"Segundo turno das eleições municipais (onde houver)

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para inscrição de eleitores;05/8/2024;"Data limite para inscrição de eleitores

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para consultas populares locais serem encaminhadas à Justiça Eleitoral;07/08/2024;"Data limite para consultas populares locais serem encaminhadas à Justiça Eleitoral

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Publicação dos nomes das Mesas Receptoras de Votos e de Justificativa;07/09/2024;"Publicação dos nomes das Mesas Receptoras de Votos e de Justificativa

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;07/08/2024
Data limite para nomeação de Mesas Receptoras em estabelecimentos penais;08/30/2024;"Data limite para nomeação de Mesas Receptoras em estabelecimentos penais

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para apresentação de justificativa à nomeação (5 dias após a publicação do edital); 09/04/2024;"Data limite para apresentação de justificativa à nomeação (5 dias após a publicação do edital)

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Publicação dos locais de votação;08/07/2024;"Publicação dos locais de votação

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para reclamação sobre locais de votação (3 dias após a publicação);08/10/2024;"Data limite para reclamação sobre locais de votação (3 dias após a publicação)

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para indicação de membros da Comissão Especial de Transporte;08/27/2024;"Data limite para indicação de membros da Comissão Especial de Transporte

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para instalação da Comissão Especial de Transporte;09/06/2024;"Data limite para instalação da Comissão Especial de Transporte

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para requisição de veículos para transporte de eleitores;09/06/2024;"Data limite para requisição de veículos para transporte de eleitores

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Divulgação do quadro geral de percursos e horários de transporte;09/21/2024;"Divulgação do quadro geral de percursos e horários de transporte

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para transferência temporária de eleitores;08/22/2024;"Data limite para transferência temporária de eleitores

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite excepcional para transferência temporária de mesários e apoio logístico;08/30/2024;"Data limite excepcional para transferência temporária de mesários e apoio logístico

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data de início da consulta ao local de votação para eleitores transferidos;07/21/2024;"Data de início da consulta ao local de votação para eleitores transferidos

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data de início da consulta ao local de votação geral;09/03/2024;"Data de início da consulta ao local de votação geral

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para justificativa de ausência no dia da eleição(1º turno);12/05/2024 ;"Data limite para justificativa de ausência no dia da eleição(1º turno)

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para justificativa de ausência no dia da eleição(2º turno);01/07/2025;"Data limite para justificativa de ausência no dia da eleição(2º turno)

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para processamento de justificativas no Cadastro Eleitoral;12/11/2024;"Data limite para processamento de justificativas no Cadastro Eleitoral

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
Data limite para manutenção das urnas e mídias após as eleições;01/14/2025;"Data limite para manutenção das urnas e mídias após as eleições

RES. TSE Nº 23.736/2024
Dispõe sobre os atos gerais do processo eleitoral para as eleições municipais de 2024.
https://www.tse.jus.br/legislacao/compilada/res/2024/resolucao-no-23-736-de-27-de-fevereiro-de-2024";True;False;
